Open,High,Low,Close,Volume
136.6,137.33,135.76,137.27,52485781
137.9,140,137.75,139.96,78945572
140.07,143.15,140.07,142.02,108181793
143.54,144.89,142.66,144.57,104911589
141.58,144.06,140.67,143.24,105575458
142.75,145.65,142.65,145.11,99890800
146.21,146.32,144,144.5,76299719
144.03,147.46,143.63,145.64,100827099
148.1,149.57,147.68,149.15,127050785
149.24,150,147.09,148.48,106820297
148.46,149.76,145.88,146.39,93251426
143.75,144.07,141.67,142.45,121434571
143.46,147.1,142.96,146.15,96350036
145.53,146.13,144.63,145.4,74993460
145.94,148.2,145.81,146.8,77338156
147.55,148.72,146.92,148.56,71447416
148.27,149.83,147.7,148.99,72434089
149.12,149.21,145.55,146.77,104818578
144.81,146.97,142.54,144.98,118931191
144.69,146.55,144.58,145.64,56699475
144.38,146.33,144.11,145.86,70440626